species_no,scientific_name
9944,acrocephalus paludicola
10154,acrocephalus palustris
9547,aethia cristatella
8643,aethia pusilla
10460,alectoris graeca
10796,alectoris rufa
9463,anthus petrosus
10527,anthus pratensis
10644,aquila adalberti
10823,bombycilla garrulus
10703,bucephala clangula
9763,carduelis citrinella
7980,carduelis corsicana
10581,clanga pomarina
9042,cyanopica cooki
10939,cygnus olor
10024,ficedula albicollis
10279,ficedula parva
10569,fratercula cirrhata
9980,lanius meridionalis
10759,larus argentatus
9149,locustella fluviatilis
9863,locustella naevia
10659,lophophanes cristatus
10194,loxia pytyopsittacus
8042,loxia scotica
7879,onychoprion aleuticus
10351,phylloscopus sibilatrix
5718,picus sharpei
10538,podiceps auritus
10471,podiceps grisegena
9134,pyrrhula murina
6249,sitta krueperi
6840,sitta ledanti
7705,sitta whiteheadi
10907,strix nebulosa
5355,sylvia balearica
10457,sylvia borin
7325,sylvia sarda
8619,tetraogallus caucasicus
10423,turdus torquatus
