species_no,scientific_name,species_id
1,lithoptila abdounensis,/m/0100hjcf
2,kurrartapu johnnguyeni,/m/010hmtwz
3,zosterops kirki,/m/011l7vvz
4,emberiza goslingi,/m/011py2_8
5,bambolinetta lignitifila,/m/01264yxh
6,dinopium psarodes,/m/012hmy68
7,dendrocopos owstoni,/m/012hsxfw
8,phragmacia humufilius,/m/012l6h32
9,melanerpes santacruzi,/m/012n8s48
10,zhylgaia aestiflua,/m/02661v7
11,ludiortyx hoffmanni,/m/02z2md7
12,puffinus spelaeus,/m/05mw51b
13,lord howe currawong,/m/05s__bj
14,norfolk triller,/m/05s_n7w
15,gallicolumba nui,/m/05zv_nj
16,cathartornis gracilis,/m/0bhc5t9
17,elgon francolin,/m/0czb4st
18,archaeospheniscus lowei,/m/0fbqgp
19,palaeospheniscus patagonicus,/m/0fbwsn
20,oraristrix brea,/m/0gy0c4l
21,asphaltoglaux cecileae,/m/0j26msx
22,pelecanus halieus,/m/0jkzk6b
23,accipiter quartus,/m/0lpzl3v
24,asthenes modesta serrana,/m/0n5w291
25,alopochen sirabensis,/m/0w512jc
26,hovacrex roberti,/m/0wbgxrj
27,thambetochen xanion,/m/0wbh73h
28,thambetochen chauliodous,/m/0wbn9qg
29,ninox reyi,/m/0wxxb7f
30,muscicapa itombwensis,/m/0wzsfmf
31,dunstanetta johnstoneorum,/m/010pdcfw
32,pikaihao bartlei,/m/010rdmdx
33,caprimulgus phalaena,/m/011lbnnr
34,amazilia wagneri,/m/012k_4vl
35,turnix novaecaledoniae,/m/0134543n
36,cinclosoma clarum,/m/0138k9hl
37,philemon meyeri,/m/02w7pf0
38,stresemannia bougainvillei,/m/02w8cy6
39,neogaeornis wetzeli,/m/02x2gps
40,foro panarium,/m/02z0w8_
41,eremophila clarkei,/m/02zb8df
42,telespiza persecutrix,/m/03cbnb6
43,querandiornis romani,/m/03cg0cf
44,abrolhos painted buttonquail,/m/03gydnn
45,hemignathus hanapepe,/m/03qjl9l
46,struthio wimani,/m/04g1plc
47,capitonides europeus,/m/065yv81
48,maria's bird of paradise,/m/06w1p0w
49,rothschild's bird of paradise,/m/06w94nk
50,archaeospheniscus wimani,/m/0fbq5d
51,palaeeudyptes gunnari,/m/0fbtwv
52,empress of germany's bird of paradise,/m/0fjmqb
53,galbula hylochoreutes,/m/0gx_6ll
54,pelecanus cadimurka,/m/0j9n2rr
55,pelecanus tirarensis,/m/0jky93n
56,megavitiornis altirostris,/m/0ll2vs7
57,hypsipetes moheliensis,/m/0tkjxqk
58,aethopyga guimarasensis,/m/0wyhh1v
59,marplesornis novaezealandiae,/m/010pdqw4
60,eurostopodus nigripennis,/m/011l9pzw
61,prosobonia cancellata,/m/011q4bqd
62,hemicircus concretus,/m/012hn0kf
63,bermuteo avivorus,/m/012trr9z
64,scytalopus acutirostris,/m/02w8758
65,porzana severnsi,/m/03d1mv1
66,paroreomyza montana montana,/m/03hlk5l
67,ciridops tenax,/m/03qfvsb
68,miopelecanus gracilis,/m/0407c4z
69,caspiodontornis kobystanicus,/m/04jhh3m
70,fluvioviridavis platyrhamphus,/m/05f551g
71,ducula harrisoni,/m/05zr4n_
72,thinornis rossi,/m/064m_6w
73,pachyplichas jagmi,/m/0dlkh6s
74,aquila bullockensis,/m/0fp_sq2
75,prophaethon shrubsolei,/m/0g1dj9
76,bavaripsitta ballmanni,/m/0j3gqrq
77,gallirallus hypoleucus,/m/0l8dsls
78,aerodramus ceramensis,/m/0s8yxc0
79,aerodramus infuscatus,/m/0s8yzvn
80,platysteira hormophora,/m/0wxszs5
81,centropus colossus,/m/010lqfct
82,eurostopodus exul,/m/011lfv01
83,phaethornis mexicanus,/m/012k_190
84,contopus punensis,/m/012l1c0k
85,prioniturus mindorensis,/m/012lw2wr
86,phlegopsis barringeri,/m/02w7pt1
87,synallaxis maranonica,/m/02w8dw3
88,&dagger;scaniornis lundgreni,/m/02x2p4f
89,hemignathus lucidus lucides,/m/03qjpck
90,pyrocephalus rubinus dubius,/m/03w9n31
91,procariama simplex,/m/047p__x
92,cyphornis magnus,/m/04jdpn4
93,amitabha urbsinterdictensis,/m/05q65x9
94,lyre-tailed king bird of paradise,/m/06w5ct2
95,cruschedula revola,/m/0dgqv3t
96,antipodes snipe,/m/0dljr6n
97,hypsipetes cowlesi,/m/0glpt8x
98,aramus paludigrus,/m/0gy1nkq
99,pelecanus schreiberi,/m/0jkx47w
100,phasmagyps patritus,/m/0p3q3vg
101,pterodroma jugabilis,/m/0w4zm62
102,campylorhamphus procurvoides gyldenstolpei,/m/0wbjtgv
103,acrocephalus hiwae,/m/0wxq08_
104,chloris aurelioi,/m/0wzpcm8
105,hylopezus paraensis,/m/011l899j
106,actenoides capucinus,/m/011p_d5_
107,trogon aurantius,/m/012hsxjw
108,stiphrornis sanghensis,/m/02pk6fk
109,aerodramus nuditarsus,/m/02w4nrh
110,herpsilochmus stictocephalus,/m/02w6sz5
111,cinnyris johannae,/m/02w7d2g
112,cinnyris ursulae,/m/02w7dvx
113,ploceus preussi,/m/02w7tjb
114,ptiloprora mayri,/m/02w7y9b
115,stelgidopteryx ridgwayi,/m/02w8crq
116,zosterops luteirostris,/m/02w8r7y
117,manu antiquus,/m/02z2mhb
118,songzia heidangkouensis,/m/02z2ml2
119,telmatornis priscus,/m/03czwl5
120,malacorhynchus scarletti,/m/03hkxqd
121,struthio orlovi,/m/047dryz
122,rupelramphastoides knopfi,/m/05f5wvy
123,rallus eivissensis,/m/09p0hs
124,chatham tomtit,/m/0bwlt25
125,scytalopus petrophilus,/m/0crd2b7
126,laornis edvardsianus,/m/0d1scd
127,caracara creightoni,/m/0dlnv5x
128,picavus litencicensis,/m/0j3gk3q
129,campylopterus curvipennis,/m/0k3j4j9
130,bucorvus brailloni,/m/0k9hs58
131,megapodius amissus,/m/0l8qh9w
132,tyto letocarti,/m/0lqhjwd
133,ficedula riedeli,/m/0swkrls
134,locustella kashmirensis,/m/0wxpcvz
135,ciconia louisebolesae,/m/010hqgjq
136,duntroonornis parvus,/m/010phfk0
137,trogon ambiguus,/m/012hsmbk
138,knipolegus cabanisi,/m/0_1jr5m
139,loxia curvirostra pusilla,/m/02q4m_9
140,megalurulus llaneae,/m/02vv5xf
141,phylloscopus ogilviegranti,/m/02vv6r7
142,mirafra degodiensis,/m/02w4ljp
143,chlorocichla falkensteini,/m/02w51t2
144,phyllastrephus baumanni,/m/02w52mk
145,apalis chapini,/m/02w5qjr
146,cisticola discolor,/m/02w64kc
147,drymocichla incana,/m/02w6h07
148,kupeornis chapini,/m/02w6xs7
149,laniarius fuelleborni,/m/02w6y3l
150,myiagra pluto,/m/02w77c5
151,myzomela eichhorni,/m/02w7bp2
152,myzomela sclateri,/m/02w7bzc
153,pachycephala lorentzi,/m/02w7lbk
154,rhipidura dedemi,/m/02w81yv
155,scytalopus altirostris,/m/02w876n
156,scytalopus bolivianus,/m/02w878c
157,zosterops inornatus,/m/02w8r6x
158,zosterops kulambangrae,/m/02w8r7l
159,corvus impluviatus,/m/03d23hz
160,tribonyx hodgenorum,/m/03hl6ch
161,gigantornis eaglesomei,/m/04jlxt9
162,stiphrornis xanthogaster,/m/04n173s
163,nola melanogramma,/m/06w9x7k
164,rhegminornis calobates,/m/0cc8z5y
165,anthropodyptes gilli,/m/0f9lsn
166,nycticorax kalavikai,/m/0j9n93q
167,siphonorhis daiquiri,/m/0ll2vsl
168,columba thiriouxi,/m/0m0jw59
169,miocorvus larteti,/m/0pmhhfd
170,xiphocolaptes carajaensis,/m/0qrzryw
171,aerodramus sororum,/m/0s8xgjt
172,oriolus decipiens,/m/0sghpzq
173,tasidyptes hunteri,/m/0w1cw2t
174,fulica chathamensis,/m/0wbl9nn
175,orthotomus chloronotus,/m/0wy0m4r
