species_no,scientific name
10592,nucifraga caryocatactes
10542,larus fuscus
10382,Branta hutchinsii
10694,cinclus cinclus
10949,cygnus atratus
10657,motacilla cinerea
10804,phoenicurus ochruros
10636,mergus serrator
10833,falco columbarius
10966,carduelis carduelis
10896,streptopelia decaocto
10952,columba livia
10944,ardea cinerea
10841,coccothraustes coccothraustes
10517,certhia familiaris
10808,anas acuta
10692,lanius excubitor
10720,himantopus himantopus
10627,columba oenas
