species_no,scientific_name
7546,falcunculus frontatus
2819,phoenicurus alaschanicus
426,nycticorax megacephalus
320,platysteira tonsa
5743,grantiella picta
1972,acrocephalus percernis
2178,tangara cucullata
850,nesospiza questi
6388,hylocharis cyanus
4532,odontophorus hyperythrus
7413,rallus semiplumbeus
5402,colius castanotus
265,aratinga vorohuensis
3089,actinodura ramsayi
8512,geopelia humeralis
8648,pterocles coronatus
3111,myiarchus validus
6770,pomatostomus ruficeps
2265,inezia inornata
8746,leucophaeus modestus
2614,paroaria nigrogenis
8126,cyanocorax yucatanicus
7752,hieraaetus ayresii
7073,dicaeum sanguinolentum
8997,molothrus aeneus
788,horornis seebohmi
1604,thalasseus acuflavidus
9995,glaucidium brodiei
4600,ixobrychus novaezelandiae
3178,pternistis jacksoni
10982,gallus gallus domesticus
6096,falculea palliata
40,foro panarium
2195,loriculus philippensis chrysonotus
9228,contopus cooperi
155,scytalopus altirostris
3828,cyanocorax heilprini
3889,accipiter nanus
845,thamnophilus divisorius
10311,urocissa erythrorhyncha
10060,sarcogyps calvus
8281,parotia lawesii
20,oraristrix brea
4068,pachyramphus homochrous
4034,hirundo dimidiata
3131,tangara johannae
6241,hydrornis caeruleus
1829,cisticola troglodytes
4545,treron griseicauda
8822,anas sibilatrix
5101,coracina caesia
7876,buteo nitidus
1235,sclerurus rufigularis
2961,eremophila scoparia
6911,calliphlox bryantae
7704,psilopogon pyrolophus
1770,elaenia ruficeps
8157,pseudastur polionotus
6334,pericrocotus igneus
8047,tanysiptera sylvia
1179,orthotomus cinereiceps
7357,coturnix pectoralis
6251,amblyornis flavifrons
9864,anastomus oscitans
6268,ducula forsteni
8057,cyanoramphus unicolor
3531,oceanites pincoyae
4217,myrmecocichla arnotti
9777,larus schistisagus
4388,thalurania watertonii
2477,pinarornis plumosus
58,aethopyga guimarasensis
6188,euplectes albonotatus
6466,lybius bidentatus
2980,lophotis savilei
9754,lathamus discolor
1937,zosterops mayottensis
9396,phylloscopus borealis
2052,ptilorrhoa caerulescens
9254,ortalis ruficauda
2279,poecile davidi
8629,melozone fusca
6477,crithagra scotops
10794,spilopelia chinensis
6637,coracina tenuirostris
4755,luscinia ruficeps
4347,dicaeum retrocinctum
8023,sericornis frontalis
3556,alcippe castaneceps
8343,pterodroma cahow
2487,tachyphonus phoenicius
1248,terpsiphone smithii
687,locustella timorensis
5284,geositta peruviana
7929,iridosornis jelskii
3519,xiphorhynchus obsoletus
8486,icterus chrysater
9436,aphriza virgata
9099,euplectes ardens
1383,metallura aeneocauda
8003,ceyx lecontei
407,geokichla crossleyi
3825,cisticola textrix
10044,irena puella
3218,leptasthenura striata
3561,calamanthus campestris
3610,rhopocichla atriceps
6851,eupherusa eximia
8983,neochmia modesta
9621,crossoptilon crossoptilon
9097,accipiter novaehollandiae
3812,nicator gularis
10457,sylvia borin
2595,synallaxis tithys
7802,amaurornis flavirostra
8861,coturnix adansonii
2031,inezia subflava
10581,clanga pomarina
7471,yuhina brunneiceps
10246,petroica macrocephala
10032,luscinia calliope
7563,amazilia versicolor
5461,aegotheles insignis
5604,moho braccatus
10127,calidris pusilla
7706,ophrysia superciliosa
10726,haliaeetus pelagicus
2143,iodopleura fusca
3145,tricholaema melanocephala
4265,psittacella modesta
6892,megadyptes waitaha
9734,euplectes orix
3804,phylloscopus pulcher
9488,urocissa ornata
1736,crithagra whytii
5990,parabuteo leucorrhous
3279,tesia cyaniventer
2781,phyllastrephus xavieri
6846,pternistis bicalcaratus
556,laniarius luehderi
5432,automolus ochrolaemus
4561,malacopteron magnirostre
7816,procellaria parkinsoni
2629,pternistis griseostriatus
8830,diuca diuca
7849,thalassarche carteri
3771,pheugopedius genibarbis
6360,centropus nigrorufus
10239,alle alle
7559,amazona agilis
7266,caprimulgus asiaticus
6527,turnix melanogaster
8467,setophaga occidentalis
6925,pionus tumultuosus
2298,piculus litae
9690,brachyramphus marmoratus
1125,sinosuthora conspicillata
4624,melanopareia torquata
1366,cinclosoma alisteri
9758,lophura leucomelanos
10956,aix galericulata
8357,coeligena torquata
10916,cuculus canorus
8892,lamprotornis chalybaeus
8345,chlamydotis macqueenii
4776,artamus minor
3919,laniarius bicolor
2338,automolus infuscatus
1631,gallirallus rovianae
1912,platysteira laticincta
10874,myiopsitta monachus
6628,pseudobulweria aterrima
10721,spheniscus humboldti
6242,pteruthius flaviscapis
5954,penelope jacucaca
3117,phlegopsis nigromaculata
7716,tregellasia capito
4150,megabyas flammulatus
3126,sitta himalayensis
1451,pomarea iphis
692,drymophila striaticeps
6592,platysteira peltata
670,telespiza ypsilon
2680,melitograis gilolensis
6422,crocias albonotatus
6550,dacelo tyro
9566,gallirallus okinawae
8194,coturnix coromandelica
8979,empidonax virescens
4911,sturnia erythropygia
3546,zentrygon goldmani
5907,eremophila longifolia
9935,callipepla gambelii
4055,chlorospingus canigularis
9347,picus awokera
1995,pseudalethe choloensis
5720,pachysylvia decurtata
2530,eremopterix verticalis
9939,protonotaria citrea
6918,strix omanensis
10958,bubo bubo
1282,lamprotornis ornatus
5472,culicivora caudacuta
7633,necropsittacus rodricanus
4479,cochoa beccarii
2833,upucerthia jelskii
8272,pipilo chlorurus
6474,myiarchus nuttingi
8299,catamenia homochroa
714,coracina ceramensis
6696,phalacrocorax magellanicus
10713,megaceryle alcyon
8961,cephalopterus ornatus
5103,drymornis bridgesii
9796,melanerpes uropygialis
10536,acrocephalus scirpaceus
5485,dendrocopos leucopterus
2076,nesotrochis debooyi
727,modulatrix stictigula
2669,ficedula rufigula
10910,grus canadensis
197,myzomela kuehni
709,fulvetta striaticollis
2789,sarothrura insularis
7525,alectroenas pulcherrimus
10008,bubo ketupu
10187,luscinia cyane
6909,picoides maculatus
4084,picoides temminckii
5548,campylorhynchus griseus
4732,tockus camurus
2277,cinnyris pembae
5618,phaethornis eurynome
6448,coccyzus melacoryphus
5645,formicivora grisea
1154,prionops rufiventris
6986,dicrurus forficatus
4194,aenigmatolimnas marginalis
71,ducula harrisoni
7555,heleia crassirostris
8987,cathartes melambrotus
3617,copsychus mindanensis
8770,emberiza bruniceps
9335,fregata ariel
3651,cinclidium frontale
4533,horornis vulcania
10653,muscicapa striata
3709,arborophila atrogularis
2565,limnornis curvirostris
4809,parus semilarvatus
367,sylvietta isabellina
2574,myioborus flavivertex
7589,nemosia rourei
2459,grallaricula ferrugineipectus
5933,trogon aurantiiventris
4008,zosterops nigrorum
10021,numenius americanus
9596,accipiter gularis
10695,aquila nipalensis
10971,meleagris gallopavo
5958,puffinus gavia
2319,phylloscopus fuligiventer
6806,passer euchlorus
7753,phalcoboenus carunculatus
3141,mulleripicus funebris
2745,zoothera terrestris
7835,crithagra dorsostriatus
4301,phalacrocorax ranfurlyi
3960,otus mindorensis
9351,calidris bairdii
6053,phaethornis malaris
10086,gavia adamsii
694,phyllastrephus albigula
5323,pachyptila salvini
1482,picumnus varzeae
2655,amaurornis olivieri
4944,aphelocoma unicolor
6066,merops breweri
3163,garrulax berthemyi
5667,cinclodes patagonicus
1224,oriolus crassirostris
981,rallus wetmorei
8426,aplonis metallica
8686,cossypha caffra
7720,otus spilocephalus
2161,myzomela jugularis
7506,erythrura cyaneovirens
144,phyllastrephus baumanni
9533,calandrella brachydactyla
6451,strix albitarsis
6536,tachycineta meyeni
4021,foudia sechellarum
10773,pycnonotus jocosus
1900,meliphaga flavirictus
8508,crithagra leucopygius
4894,galerida malabarica
5322,caprimulgus fossii
7624,mimus longicaudatus
2925,prunella fagani
3877,tanysiptera carolinae
120,malacorhynchus scarletti
7510,ardeotis arabs
5715,indicator xanthonotus
9189,psephotus pulcherrimus
5514,sericornis magnirostra
1904,cinnyris neergardi
1725,geotrygon purpurata
794,neocichla gutturalis
6227,acrocephalus gracilirostris
872,mirafra microptera
6036,mimus triurus
1160,turnagra tanagra
7004,accipiter ovampensis
10463,nyctanassa violacea
5650,tmetothylacus tenellus
6391,buteo auguralis
6828,phaenicophaeus viridirostris
8986,tauraco livingstonii
5741,dendrocolaptes platyrostris
10020,microhierax fringillarius
9286,ptilinopus magnificus
8767,petroica phoenicea
1225,philemon moluccensis
9733,manorina melanocephala
8179,florisuga fusca
2875,megascops hoyi
4643,henicorhina negreti
3823,drymotoxeres pucheranii
4556,garrulax strepitans
1191,ixonotus guttatus
8337,patagioenas picazuro
1222,cinnyris shelleyi
3504,neocossyphus poensis
9780,phylloscopus inornatus
9324,corvus crassirostris
8834,burhinus capensis
8184,artemisiospiza nevadensis
5117,pteroglossus sanguineus
3575,herpsilochmus rufimarginatus
1190,chlorocichla prigoginei
9552,zoothera dauma
7505,psarocolius wagleri
3676,pheugopedius fasciatoventris
10715,ardea purpurea
3840,microcerculus ustulatus
10912,cyanistes caeruleus
252,ploceus dorsomaculatus
1511,peliperdix schlegelii
6531,gymnophaps albertisii
6198,chondrohierax wilsonii
1171,pachycephala caledonica
8130,heliornis fulica
4999,serpophaga nigricans
703,oxylabes madagascariensis
2163,newtonia amphichroa
6778,nyctibius bracteatus
6365,artamus personatus
9025,morus serrator
10449,accipiter cooperii
7708,ixobrychus eurhythmus
2171,phylloscartes superciliaris
9931,diopsittaca nobilis
9772,calidris ruficollis
9398,milvago chimachima
6184,gallirallus torquatus
6619,hemicircus canente
909,myioborus castaneocapilla
2494,xenornis setifrons
7531,arachnothera magna
2121,asthenes hudsoni
5303,campylorhynchus zonatus
9887,paroaria dominicana
2208,alophoixus longirostris
1906,oriolus melanotis
7595,grallaria gigantea
10602,ramphastos sulfuratus
1341,rhipidura albolimbata
4855,cichladusa arquata
545,apalis nigriceps
6453,upupa epops marginata
7300,apalharpactes reinwardtii
5000,sporophila ardesiaca
5225,metallura williami
1683,phyllomyias plumbeiceps
1615,phylloscopus forresti
5135,accipiter griseiceps
5202,garrulax galbanus
2705,smithornis sharpei
887,camaroptera superciliaris
5962,streptopelia hypopyrrha
9810,circaetus cinereus
10167,phalacrocorax brasilianus
1570,ploceus nelicourvi
7333,garrulax taewanus
9755,calidris fuscicollis
147,drymocichla incana
6719,cyclopsitta gulielmitertii
9905,pelecanus rufescens
737,myzomela caledonica
6222,manucodia ater
990,coracina holopolia
3249,sasia africana
8846,phoeniculus purpureus
6809,pterodroma heraldica
1495,asthenes luizae
279,cinnyris prigoginei
3959,geokichla piaggiae
3268,columba thomensis
2733,parus carpi
1786,mionectes macconnelli
3080,apus acuticauda
7611,cladorhynchus leucocephalus
1550,hellmayrea gularis
8536,acanthiza chrysorrhoa
2721,tyrannus niveigularis
3738,cnemophilus loriae
541,neolestes torquatus
8106,phaenicophaeus tristis
9476,amazona barbadensis
4528,urosticte ruficrissa
7958,tringa guttifer
156,scytalopus bolivianus
10364,anas poecilorhyncha
8388,streptopelia semitorquata
7152,todiramphus pyrrhopygius
4882,eremopterix leucotis
5862,psittacara strenuus
6774,cinnyris coccinigastrus
5756,vanellus melanopterus
