species_no,downloaded,downloaded_no
2091,1,51
10474,1,349
10491,1,376
10512,1,405
10588,1,346
10705,1,328
10828,1,353
10848,1,376
10883,1,339
10921,1,390
10382,1,465
10517,1,414
10542,1,425
10592,1,456
10627,1,392
10636,1,410
10657,1,454
10692,1,455
10694,1,438
10720,1,454
10804,1,433
10808,1,405
10833,1,377
10841,1,454
10896,1,407
10944,1,413
10949,1,421
10952,1,438
10966,1,437
9944,1,385
10154,1,425
10770,1,382
9547,1,375
8643,1,311
10460,1,362
10796,1,387
9463,1,460
10527,1,443
10644,1,351
10919,1,429
10823,1,439
10703,1,394
9426,1,416
9763,1,320
7980,1,163
10326,1,442
8599,1,438
10513,1,456
10581,1,306
10912,1,402
9258,1,403
9042,1,472
10939,1,409
10780,1,386
9809,1,424
8504,1,427
9859,1,396
7972,1,451
10917,1,399
10775,1,416
9861,1,428
6134,1,326
7879,1,183
8953,1,407
10904,1,387
10700,1,416
7477,1,369
9260,1,470
10701,1,434
8692,1,456
7379,1,370
10209,1,435
5718,1,242
6406,1,362
10840,1,409
10633,1,341
10538,1,421
10471,1,406
8396,1,409
10667,1,443
9384,1,448
9089,1,384
9134,1,356
10459,1,420
10454,1,408
10568,1,421
10961,1,294
10654,1,411
6249,1,314
6840,1,180
8826,1,411
7705,1,252
10937,1,396
10907,1,385
10100,1,435
5355,1,239
10457,1,427
