,id,Scientific_Name,size,Size_category,Mass,Habitat,Habitat_Category,Migration,Trophic_Level__Feeding_Habits_,Min_Latitude,Max_Latitude,Centroid_Latitude,Centroid_Longitude,Range_Size,General_Describtion,species_status
0,8202,abeillia abeillei,82.7,Small,2.7,Forest,Semi-open habitats,1,Herbivore,12.78,19.77,15.29,-89.79,144610.40,"The emerald-chinned hummingbird (Abeillia abeillei) is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae. It is found in El Salvador, Guatemala, Honduras, Mexico, and Nicaragua.[3][4]",extant
1,5876,abroscopus albogularis,97.4,Small,4.84,Forest,Dense habitats,1,Carnivore,14.97,31.56,24.78,105.57,1704650.60,"The rufous-faced warbler (Abroscopus albogularis) is a species of the bush warbler family, Cettiidae. It was formerly included in the ""Old World warbler"" assemblage.",extant
2,4963,abroscopus schisticeps,111.1,Small,4.7,Forest,Dense habitats,1,Carnivore,20.19,31.12,26.70,95.58,909217.05,"The black-faced warbler (Abroscopus schisticeps) is a species of bush warbler (family Cettiidae). It was formerly included in the ""Old World warbler"" assemblage.",Least Concern
3,8461,abroscopus superciliaris,110.2,Small,6.48,Shrubland,Dense habitats,1,Carnivore,-8.11,28.81,9.89,105.20,2493437.47,"The yellow-bellied warbler (Abroscopus superciliaris) is a species of bush warbler (family Cettiidae). It was formerly included in the ""Old World warbler"" assemblage.",extant
4,6795,aburria aburri,693.4,Large,1405.08,Forest,Dense habitats,1,Herbivore,-13.43,11.15,-2.79,-75.23,139314.36,"The wattled guan (Aburria aburri) is a species of bird in the family Cracidae. It is a fairly large black cracid with blue-based, black-tipped beak and a long, red-and-yellow wattle.",Near Threatened
5,7047,acanthagenys rufogularis,247.6,Medium,47.8,Shrubland,Semi-open habitats,1,Omnivore,-38.86,-16.14,-27.10,133.98,5976565.20,"The spiny-cheeked honeyeater (Acanthagenys rufogularis) is the only species in the genus Acanthagenys. It is large for a honeyeater, ranging from  22 to 27 centimeters (8.7 to 10.6 inches) tall and weighing around 52 grams.[3] The birds are sociable, aggressive, and often observed foraging in large flocks.[4]",Not Evaluated
6,4245,acanthidops bairdi,139.0,Small,16.0,Forest,Dense habitats,2,Omnivore,8.80,10.38,9.56,-83.49,4743.28,"The peg-billed finch (Acanthidops bairdi) is a passerine bird endemic to the highlands of Costa Rica and western Panama. Despite its name, it is not a true finch, but now recognized as a member of the tanager family (Thraupidae), after being long placed in the Emberizidae. It is the only member of the genus Acanthidops. The scientific name commemorates the American ornithologist Spencer Fullerton Baird.",Least Concern
7,10738,acanthis flammea,150.1,Medium,13.0,Forest,Dense habitats,2,Herbivore,44.10,83.11,64.52,23.24,19794267.79,,extant
8,9855,acanthisitta chloris,87.5,Small,6.91,Forest,Dense habitats,1,Carnivore,-47.28,-35.38,-42.25,172.19,152503.84,"The rifleman (Acanthisitta chloris) (Māori: tītipounamu) is a small insectivorous passerine bird that is endemic to New Zealand. It belongs to the family Acanthisittidae, also known as the New Zealand wrens, of which it is one of only two surviving species. The rifleman resembles a wren in form, but is not related to the family of true wrens, Troglodytidae, nor the fairy-wrens of Australia.",Least Concern
9,6584,acanthiza apicalis,114.1,Small,7.62,Woodland,Semi-open habitats,1,Carnivore,-36.00,-16.78,-27.63,131.95,4124270.80,"The inland thornbill (Acanthiza apicalis) was originally described by English ornithologist John Gould in The Birds of Australia.[1]  Inland thornbills are within the order passerines.[2] The inland thornbill belongs to the genus Acanthiza, which now has three more species than the eleven outlined by Gould in The Birds of Australia.[1] The Noongar people of southwestern Western Australia call A. apicalis ""Djoobi-Djoolbang"".[3] The inland thornbill is also known as the broad-tail thornbill and presently contains several subspecies that were once considered independent species.[4] The word apicalis comes from the Latin for 'tipped'.[4]",Least Concern
10,8536,acanthiza chrysorrhoa,114.2,Small,9.29,Woodland,Semi-open habitats,1,Carnivore,-43.64,-18.56,-28.80,136.41,4590956.34,"The yellow-rumped thornbill (Acanthiza chrysorrhoa) is a species of passerine bird from the genus Acanthiza. The genus was once placed in the family Pardalotidae but that family was split and it is now in the family Acanthizidae. There are four subspecies of yellow-rumped thornbill. It is a small, brownish bird with a distinctive yellow rump and thin dark bill. It inhabits savannah, scrub and forests across most of Australia and eats insects. The species engages in cooperative breeding.",extant
11,5948,acanthiza ewingii,120.1,Small,6.9,Forest,Semi-open habitats,1,Carnivore,-43.64,-39.44,-41.94,146.59,68050.51,"The Tasmanian thornbill (Acanthiza ewingii) is a small bushland member of the Acanthizidae (Australian warbler) family, endemic to Tasmania and the Bass Strait Islands. It is a common bird in these regions and is often found occupying the colder, wetter portions of them. The brown thornbill (Acanthiza pusilla) will typically occupy the correspondingly drier portions of habitat.[4][5]",extant
12,4979,acanthiza inornata,101.5,Small,7.0,Woodland,Semi-open habitats,1,Carnivore,-35.19,-29.16,-32.67,116.74,137406.16,"The western thornbill (Acanthiza inornata) is a species of bird in the family Acanthizidae.
It is endemic to southwestern Australia.",Least Concern
