,id,Scientific_Name,Common_Name,size,Size_category,Mass,Habitat,Habitat_Category,Migration,Trophic_Level__Feeding_Habits_,Min_Latitude,Max_Latitude,Centroid_Latitude,Centroid_Longitude,Range_Size,General_Describtion,species_status,status
0,88,&dagger;scaniornis lundgreni,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
1,44,abrolhos painted buttonquail,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
2,9369,acanthis cabaret,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
3,10147,acanthis hornemanni,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
4,7470,accipiter chilensis,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
5,430,accipiter efficax,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
6,1840,accipiter fasciatus natalis,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
7,966,accipiter francesii pusillus,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
8,23,accipiter quartus,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
9,9423,aceros cassidix,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
10,8982,aceros corrugatus,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
11,6058,aceros leucocephalus,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
12,7161,aceros waldeni,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
13,176,acrocephalus astrolabii,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
14,6258,acrocephalus baeticatus,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
15,768,acrocephalus familiaris familiaris,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
16,2943,acrocephalus familiaris kingi,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
17,4519,acrocephalus luscinius,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
18,520,acrocephalus musae,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
19,1505,acrocephalus nijoi,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
20,226,acrocephalus yamashinae,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
21,4126,actinodura morrisoniana,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
22,3474,actinodura nipalensis,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
23,3475,actinodura souliei,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
24,3641,actinodura waldeni,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
25,5416,aegolius gradyi,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
26,3879,aegotheles novazelandiae,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
27,275,aegypius jinniushanensis,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
28,4194,aenigmatolimnas marginalis,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
29,187,aerodramus amelis,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
30,78,aerodramus ceramensis,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
31,4392,aerodramus germani,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
32,303,aerodramus ocistus,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,FALLBACK
